Feature,Cluster Label,Distance from Center
<built-in method index of list object at 0x000002740DCE2240>,Normal,4.32140770834296
<built-in method index of list object at 0x000002740DCE2240>,Normal,3.4696676542772322
<built-in method index of list object at 0x000002740DCE2240>,Normal,3.393909979045088
<built-in method index of list object at 0x000002740DCE2240>,Normal,4.176058636433693
<built-in method index of list object at 0x000002740DCE2240>,Normal,3.183602769190441
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.389861115585665
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.3306613638113376
<built-in method index of list object at 0x000002740DCE2240>,Normal,3.2428133701011785
<built-in method index of list object at 0x000002740DCE2240>,Normal,3.3987279491467066
<built-in method index of list object at 0x000002740DCE2240>,Normal,3.316166989591988
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.806286133016434
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.555494058610514
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.990255157264462
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.62396989095951
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.3273107062831073
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.6945203896305614
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.665315886815718
<built-in method index of list object at 0x000002740DCE2240>,Normal,4.608246798804211
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.003602444267896
<built-in method index of list object at 0x000002740DCE2240>,Normal,3.255116209945382
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.2995405611646245
<built-in method index of list object at 0x000002740DCE2240>,Normal,4.627431254455163
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.597248672427614
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.1829546183894113
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.6892939249807752
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.3878375465424404
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.852997437888021
<built-in method index of list object at 0x000002740DCE2240>,Normal,5.863641171639153
<built-in method index of list object at 0x000002740DCE2240>,Normal,5.456147815964033
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.85043350530179
<built-in method index of list object at 0x000002740DCE2240>,Normal,4.100596209182217
<built-in method index of list object at 0x000002740DCE2240>,Normal,3.176059429850176
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.984860357220721
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.674640418676897
<built-in method index of list object at 0x000002740DCE2240>,Normal,3.0647562136676765
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.889446152621483
<built-in method index of list object at 0x000002740DCE2240>,Normal,4.575542081281716
<built-in method index of list object at 0x000002740DCE2240>,Normal,3.5535371191992753
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.7887250438809845
<built-in method index of list object at 0x000002740DCE2240>,Normal,2.8809315554560464
