Feature,Cluster Label,Distance from Center
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.125149458820498
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.02333679976586
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.972588265974468
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.192954983092116
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.83781440150549
<built-in method index of list object at 0x00000274103D6E40>,Normal,5.600691992619259
<built-in method index of list object at 0x00000274103D6E40>,Normal,5.679949312499992
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.707247756721675
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.639930374275994
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.468448000040722
<built-in method index of list object at 0x00000274103D6E40>,Noise,5.989034832415345
<built-in method index of list object at 0x00000274103D6E40>,Noise,7.42810321207919
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.1700724409060985
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.248805675632411
<built-in method index of list object at 0x00000274103D6E40>,Normal,5.804656625133107
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.3347125106240325
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.387979094532119
<built-in method index of list object at 0x00000274103D6E40>,Noise,5.884179308473802
<built-in method index of list object at 0x00000274103D6E40>,Normal,5.831085788072248
<built-in method index of list object at 0x00000274103D6E40>,Normal,5.658414547900174
<built-in method index of list object at 0x00000274103D6E40>,Normal,5.5758724285641765
<built-in method index of list object at 0x00000274103D6E40>,Noise,15.756463211103807
<built-in method index of list object at 0x00000274103D6E40>,Normal,5.227553345053386
<built-in method index of list object at 0x00000274103D6E40>,Noise,6.254485816432696
<built-in method index of list object at 0x00000274103D6E40>,Noise,7.673633994085976
<built-in method index of list object at 0x00000274103D6E40>,Noise,8.332414925333408
<built-in method index of list object at 0x00000274103D6E40>,Noise,7.7665681778014415
<built-in method index of list object at 0x00000274103D6E40>,Noise,17.385232939761924
<built-in method index of list object at 0x00000274103D6E40>,Noise,8.625229265570638
<built-in method index of list object at 0x00000274103D6E40>,Noise,8.230954971529629
<built-in method index of list object at 0x00000274103D6E40>,Noise,8.490893749464156
<built-in method index of list object at 0x00000274103D6E40>,Noise,10.85241736819258
<built-in method index of list object at 0x00000274103D6E40>,Noise,8.267856201794755
<built-in method index of list object at 0x00000274103D6E40>,Noise,7.791173278445814
<built-in method index of list object at 0x00000274103D6E40>,Noise,9.52553966140364
<built-in method index of list object at 0x00000274103D6E40>,Noise,8.047347403139606
<built-in method index of list object at 0x00000274103D6E40>,Noise,9.050964852612763
<built-in method index of list object at 0x00000274103D6E40>,Noise,8.252083213056109
<built-in method index of list object at 0x00000274103D6E40>,Noise,7.937140735152328
<built-in method index of list object at 0x00000274103D6E40>,Noise,11.769142746069269
